"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"185755","occ","","","18225","Sorex","genus","40486","Hemphillian","","10.3","4.9","2218"
"185756","occ","","","18225","Alluvisorex arcadentes","species","43905","Hemphillian","","10.3","4.9","2218"
"185757","occ","11115","","18225","Crusafontina magna","species","44116","Hemphillian","","10.3","4.9","11139"
"185758","occ","","","18225","Limnoecus","genus","40471","Hemphillian","","10.3","4.9","2218"
"185982","occ","","","18247","Paracryptotis","genus","40479","Late Hemphillian","","10.3","4.9","3510"
"185983","occ","","","18247","Alluvisorex","genus","40446","Late Hemphillian","","10.3","4.9","3510"
"186074","occ","5894","","18261","Pseudotrimylus","genus","40484","Barstovian","","15.97","13.6","6294"
"186135","occ","","","18268","Soricidae","family","40443","Clarendonian","","13.6","10.3","1710"
"186186","occ","","","18275","Alluvisorex","genus","40446","Barstovian","","15.97","13.6","3510"
"186267","occ","","","18284","Alluvisorex","genus","40446","Barstovian","","15.97","13.6","3510"
"186419","occ","","","18303","Limnoecus niobrarensis","species","47680","Barstovian","","15.97","13.6","1717"
"186626","occ","11116","","18326","Crusafontina magna","species","44116","Clarendonian","Hemphillian","13.6","4.9","11139"
"186627","occ","","","18326","Sorex edwardsi","species","51641","Clarendonian","Hemphillian","13.6","4.9","3510"
"186850","occ","","","18359","Paracryptotis","genus","40479","Late Hemphillian","","10.3","4.9","3510"
"186851","occ","","","18359","Petenyia","genus","40482","Late Hemphillian","","10.3","4.9","3510"
"187025","occ","","","18397","Adeloblarina berklandi","species","43734","Barstovian","","15.97","13.6","6331"
"187206","occ","","","18442","Soricidae","family","40443","Barstovian","","15.97","13.6","3510"
"187271","occ","","","18443","Limnoecus","genus","40471","Barstovian","","15.97","13.6","5714"
"187343","occ","","","18450","Tregosorex holmani","species","52410","Clarendonian","","13.6","10.3","1901"
"187344","occ","","","18450","Anchiblarinella wakeeneyensis","species","44030","Clarendonian","","13.6","10.3","1901"
"187345","occ","6266","","18450","Petenyia concisa","species","50281","Clarendonian","","13.6","10.3","6294"
"187422","occ","","","18463","Tregosorex holmani","species","52410","Clarendonian","","13.6","10.3","1317"
"187423","occ","","","18463","Soricidae","family","40443","Clarendonian","","13.6","10.3","1317"
"187424","occ","","","18463","Sorex","genus","40486","Clarendonian","","13.6","10.3","1317"
"187682","occ","","","18512","Soricidae","family","40443","Late Hemingfordian","","20.43","15.97","2614"
"187866","occ","","","18554","Soricidae","family","40443","Late Clarendonian","","13.6","10.3","3581"
"188168","occ","","","18597","Limnoecus","genus","40471","Hemingfordian","","20.43","15.97","2614"
"188446","occ","","","18632","Limnoecus niobrarensis","species","47680","Miocene","","23.03","5.333","4152"
"188564","occ","","","18659","Limnoecus niobrarensis","species","47680","Miocene","","23.03","5.333","3030"
"188639","occ","","","18666","Limnoecus niobrarensis","species","47680","Miocene","","23.03","5.333","3030"
"188648","occ","","","18667","Limnoecus niobrarensis","species","47680","Miocene","","23.03","5.333","4152"
"188649","occ","","","18668","Limnoecus niobrarensis","species","47680","Miocene","","23.03","5.333","4152"
"188651","occ","","","18670","Limnoecus niobrarensis","species","47680","Miocene","","23.03","5.333","4152"
"188911","occ","","","18755","Soricidae","family","40443","Late Hemphillian","","10.3","4.9","2245"
"188977","occ","6864","","18759","Pseudotrimylus","genus","40484","Barstovian","","15.97","13.6","6294"
"189182","occ","","","18803","Limnoecus","genus","40471","Early Barstovian","","15.97","13.6","3342"
"189183","occ","","","18803","Angustidens vireti","species","51671","Early Barstovian","","15.97","13.6","3342"
"189242","occ","","","18807","Soricidae","family","40443","Hemphillian","","10.3","4.9","3118"
"189263","occ","6996","","18809","Pseudotrimylus mawbyi","species","52500","Barstovian","","15.97","13.6","2869"
"189314","occ","","","18820","Hesperosorex","genus","40469","Clarendonian","","13.6","10.3","3119"
"189315","occ","11117","","18820","Crusafontina minima","species","44117","Clarendonian","","13.6","10.3","11139"
"189356","occ","11118","","18831","Crusafontina minima","species","44117","Clarendonian","","13.6","10.3","11139"
"189391","occ","","","18834","Adeloblarina berklandi","species","43734","Barstovian","","15.97","13.6","2869"
"189437","occ","","","18845","Limnoecus tricuspis","species","47681","Clarendonian","","13.6","10.3","1489"
"189495","occ","","","18849","Cryptotis adamsi","species","44537","Hemphillian","","10.3","4.9","2869"
"189616","occ","","","18888","Alluvisorex chasseae","species","46944","Clarendonian","","13.6","10.3","2869"
"189752","occ","7182","","18916","Pseudotrimylus mawbyi","species","52500","Miocene","","23.03","5.333","6294"
"189753","occ","7183","","18917","Pseudotrimylus mawbyi","species","52500","Miocene","","23.03","5.333","6294"
"189840","occ","","","18938","Hesperosorex lovei","species","46945","Miocene","","23.03","5.333","1883"
"189882","occ","","","18944","Soricidae","family","40443","Hemphillian","","10.3","4.9","3118"
"189946","occ","","","18962","Pseudotrimylus","genus","40484","Hemingfordian","","20.43","15.97","2608"
"189947","occ","","","18962","Limnoecus compressus","species","51635","Hemingfordian","","20.43","15.97","2608"
"190186","occ","","","19011","Alluvisorex arcadentes","species","43905","Barstovian","","15.97","13.6","3117"
"190267","occ","7377","","19017","Pseudotrimylus","genus","40484","Barstovian","","15.97","13.6","6294"
"190268","occ","","","19017","Alluvisorex arcadentes","species","43905","Barstovian","","15.97","13.6","3117"
"190269","occ","","","19017","Limnoecus","genus","40471","Barstovian","","15.97","13.6","3117"
"190365","occ","","","19036","Limnoecus tricuspis","species","47681","Late Clarendonian","","13.6","10.3","2869"
"190366","occ","","","19036","Paracryptotis rex","species","49801","Late Clarendonian","","13.6","10.3","2869"
"190479","occ","7459","","19061","Pseudotrimylus mawbyi","species","52500","Barstovian","","15.97","13.6","6294"
"190541","occ","","","19074","Limnoecus","genus","40471","Hemingfordian","","20.43","15.97","2634"
"190573","occ","","","19075","Limnoecus","genus","40471","Hemingfordian","","20.43","15.97","2634"
"190604","occ","","","19076","Limnoecus","genus","40471","Hemingfordian","","20.43","15.97","2634"
"190622","occ","","","19077","Soricidae","family","40443","Hemingfordian","","20.43","15.97","2634"
"190722","occ","","","19088","Limnoecus","genus","40471","Barstovian","","15.97","13.6","1489"
"191039","occ","","","19169","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"191048","occ","","","19173","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"191071","occ","","","19181","Limnoecus tricuspis","species","47681","Clarendonian","","13.6","10.3","2012"
"191130","occ","","","19193","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"191307","occ","","","19271","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"191346","occ","","","19279","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"191358","occ","","","19280","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"191367","occ","","","19281","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"191451","occ","","","19304","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
