"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","composition","architecture","thickness","reinforcement"
"151118","occ","","","13485","informal Crocidura kormosi","species","110664","recombined as","Zelceina kormosi","","species","110664","Pliocene","","5.333","2.588","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","Zelceina","","","","","114.000000","40.000000","Bilike Micromammals","","","CN","","","estimated from map","degrees","","Located 45 km northeast of the Ertemte Micromammal locality","gp_mid","113.23","39.65","604","CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151119","occ","","","13485","Blarinella sp.","genus","40458","","Blarinella","","genus","40458","Pliocene","","5.333","2.588","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","Blarinella","","","","","114.000000","40.000000","Bilike Micromammals","","","CN","","","estimated from map","degrees","","Located 45 km northeast of the Ertemte Micromammal locality","gp_mid","113.23","39.65","604","CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151120","occ","","","13485","Sorex sp.","genus","40486","","Sorex","","genus","40486","Pliocene","","5.333","2.588","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","Sorex","","","","","114.000000","40.000000","Bilike Micromammals","","","CN","","","estimated from map","degrees","","Located 45 km northeast of the Ertemte Micromammal locality","gp_mid","113.23","39.65","604","CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151121","occ","","","13485","Sorex sp.","genus","40486","","Sorex","","genus","40486","Pliocene","","5.333","2.588","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","Sorex","","","","","114.000000","40.000000","Bilike Micromammals","","","CN","","","estimated from map","degrees","","Located 45 km northeast of the Ertemte Micromammal locality","gp_mid","113.23","39.65","604","CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151122","occ","","","13485","Sorex sp.","genus","40486","","Sorex","","genus","40486","Pliocene","","5.333","2.588","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","Sorex","","","","","114.000000","40.000000","Bilike Micromammals","","","CN","","","estimated from map","degrees","","Located 45 km northeast of the Ertemte Micromammal locality","gp_mid","113.23","39.65","604","CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151123","occ","","","13485","Soricinae indet.","subfamily","53430","","Soricinae","","subfamily","53430","Pliocene","","5.333","2.588","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","","","","","","114.000000","40.000000","Bilike Micromammals","","","CN","","","estimated from map","degrees","","Located 45 km northeast of the Ertemte Micromammal locality","gp_mid","113.23","39.65","604","CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151416","occ","","","13486","Sorex sp.","genus","40486","","Sorex","","genus","40486","Late Pliocene","","3.6","2.588","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","Sorex","","","","","115.000000","40.000000","Daodi Micromammals","","","CN","Hebei","","estimated from map","degrees","","Located 20 km southwest of Nihewan Hebei China","gp_mid","114.42","39.74","604","CN","","","","","group of beds","MN 16","","Nihewan Beds","","","","","Daodi Pliocnee beds are just under the Pleistocene beds bearing archaeological sites.\r\nThe joint Occurenece of Rattus and Orientalomys suggest a latest Pliocene (MN 16) correlation for the Daodi fauna.","","","","","","","","","","","","","","","mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151417","occ","","","13486","cf. Sorex sp.","genus","40486","","Sorex","","genus","40486","Late Pliocene","","3.6","2.588","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","Sorex","","","","","115.000000","40.000000","Daodi Micromammals","","","CN","Hebei","","estimated from map","degrees","","Located 20 km southwest of Nihewan Hebei China","gp_mid","114.42","39.74","604","CN","","","","","group of beds","MN 16","","Nihewan Beds","","","","","Daodi Pliocnee beds are just under the Pleistocene beds bearing archaeological sites.\r\nThe joint Occurenece of Rattus and Orientalomys suggest a latest Pliocene (MN 16) correlation for the Daodi fauna.","","","","","","","","","","","","","","","mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151418","occ","","","13486","Paenelimnoecus sp.","genus","40478","","Paenelimnoecus","","genus","40478","Late Pliocene","","3.6","2.588","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","Paenelimnoecus","","","","","115.000000","40.000000","Daodi Micromammals","","","CN","Hebei","","estimated from map","degrees","","Located 20 km southwest of Nihewan Hebei China","gp_mid","114.42","39.74","604","CN","","","","","group of beds","MN 16","","Nihewan Beds","","","","","Daodi Pliocnee beds are just under the Pleistocene beds bearing archaeological sites.\r\nThe joint Occurenece of Rattus and Orientalomys suggest a latest Pliocene (MN 16) correlation for the Daodi fauna.","","","","","","","","","","","","","","","mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151419","occ","","","13486","Beremendia ? sp.","genus","40456","","Beremendia","","genus","40456","Late Pliocene","","3.6","2.588","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","Beremendia","","","","","115.000000","40.000000","Daodi Micromammals","","","CN","Hebei","","estimated from map","degrees","","Located 20 km southwest of Nihewan Hebei China","gp_mid","114.42","39.74","604","CN","","","","","group of beds","MN 16","","Nihewan Beds","","","","","Daodi Pliocnee beds are just under the Pleistocene beds bearing archaeological sites.\r\nThe joint Occurenece of Rattus and Orientalomys suggest a latest Pliocene (MN 16) correlation for the Daodi fauna.","","","","","","","","","","","","","","","mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
