"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","composition","architecture","thickness","reinforcement"
"197900","occ","9588","","20390","Blarina brevicauda","species","44538","","Blarina brevicauda","","species","51632","Irvingtonian","","1.8","0.3","Jones et al.","1984","2046","Chordata","Mammalia","","Soricidae","Blarina","","","","","-98.099998","38.700001","Kanopolis","","","US","Kansas","Ellsworth","based on political unit","1","","","gp_mid","-97.71","38.93","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"197901","occ","","","20390","Cryptotis parva","species","45376","","Cryptotis parva","","species","51658","Irvingtonian","","1.8","0.3","Hibbard et al.","1978","1912","Chordata","Mammalia","","Soricidae","Cryptotis","","","","","-98.099998","38.700001","Kanopolis","","","US","Kansas","Ellsworth","based on political unit","1","","","gp_mid","-97.71","38.93","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"197933","occ","","","20391","Sorex sp.","genus","40486","","Sorex","","genus","40486","Irvingtonian","","1.8","0.3","Semken","1966","3099","Chordata","Mammalia","","Soricidae","Sorex","","","","","-97.599998","38.299999","Kentuck","","","US","Kansas","McPherson","based on political unit","1","","","gp_mid","-97.21","38.53","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","from a channel deposit cutting into the McPherson Fm.<br>originally described by Hibbard 1952<br>thought by both Hibbard and Semken to be a mixture of two distinct Pleistocene faunas but this was rejected by Zakrzewski 1975; Kurten and Anderson 1980 appear to be unaware of the latter's argument<br>""includes a number of misidentifed taxa"": Martin 1975","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"197934","occ","","","20391","Blarina sp.","genus","40457","","Blarina","","genus","40457","Irvingtonian","","1.8","0.3","Semken","1966","3099","Chordata","Mammalia","","Soricidae","Blarina","","","","","-97.599998","38.299999","Kentuck","","","US","Kansas","McPherson","based on political unit","1","","","gp_mid","-97.21","38.53","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","from a channel deposit cutting into the McPherson Fm.<br>originally described by Hibbard 1952<br>thought by both Hibbard and Semken to be a mixture of two distinct Pleistocene faunas but this was rejected by Zakrzewski 1975; Kurten and Anderson 1980 appear to be unaware of the latter's argument<br>""includes a number of misidentifed taxa"": Martin 1975","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"197976","occ","","","20398","Soricidae indet.","family","40443","","Soricidae","","family","40443","Rancholabrean","","0.3","0.012","Morgan","1991","2611","Chordata","Mammalia","","Soricidae","","","","","","-82.199997","28.799999","Lecanto 2A","","","US","Florida","Citrus","based on political unit","1","","2.5 km NW of Lecanto","gp_mid","-82.20","28.80","109","US","","","","","","","","","","","","","said to be  Rancholabrean","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","some genera","","","","","","not the same as Sabertooth Cave (see)<br>said to be Rancholabrean by Morgan 1991 and argument of Morgan and Seymour 1997 suggests it is early Rancholabrean","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198029","occ","","","20402","Blarina cf. carolinensis","species","44539","","Blarina carolinensis","","species","51633","Irvingtonian","","1.8","0.3","Morgan and White","1995","2624","Chordata","Mammalia","","Soricidae","Blarina","","","","","-82.500000","27.700001","Leisey Shell Pit 3A","","","US","Florida","Hillsborough","based on political unit","minutes","","","gp_mid","-82.13","27.87","109","US","","Bermont","","","","","Leisy","4","bottom to top","","","","said to be early Irvingtonian","""unconsolidated poorly sorted... fine-grained sand silt and dark brown mud"" with many mollusc and vertebrate fossils","sandstone","","unlithified","","","siltstone","","unlithified","","","estuary/bay","","","macrofossils,mesofossils","","","","","","","","body","","","","","-single event","","","","","","","some isolated elements plus many ""disarticulated and partially disassociated individuals""","general faunal/floral","selective quarrying","","","","","","","","entirely within a reversed polarity interval: MacFadden 1995Sr isotope date of 1.33 +/- 0.56 Ma: Jones et al. 1995contrary to MacFadden 1995 above evidence could place this not only in C1r.1r but also in C1rLeisey Shell Pit 3: Erethizon dorsatum Morgan and White 1995 Neochoerus sp. Morgan and White 1995 Ondatra annectens Morgan and White 1995 Canis armbrusteri Berta 1995 ""Lutra"" canadensis Berta 1995 Spilogale putorius Berta 1995 Lynx rufus Berta 1995 Miracinonyx inexpectatus Berta 1995: repeated by Morgan and Seymour 1997""Holmesina cf. floridanus"" is omitted by Downing and White 1995""Cuvieronius sp."" is omitted by Webb and Dudley 1995","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198055","occ","","","20406","Soricidae indet.","family","40443","","Soricidae","","family","40443","Irvingtonian","","1.8","0.3","Gillette et al.","1999","1630","Chordata","Mammalia","","Soricidae","","","","1","specimens","-111.699997","40.799999","Little Dell Dam Locality 2","","","US","Utah","Salt Lake","based on political unit","1","small collection","Mountain Dell Canyon 16 km E of Salt Lake City","gp_mid","-111.34","41.07","101","US","FED","","","","","","","","","","","","said to be  Irvingtonian","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","16 specimens","","","","","generically identifiable NISP 16+","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198070","occ","","","20407","Sorex cf. dispar","species","51639","","Sorex dispar","","species","51639","Irvingtonian","","1.8","0.3","Eshelman and Hager","1984","1462","Chordata","Mammalia","","Soricidae","Sorex","","","","","-96.000000","41.799999","Little Sioux (Lower)","","","US","Iowa","Harrison","based on political unit","1","","","gp_mid","-95.58","42.02","101","US","","","","","","","LitSx","1","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","some genera","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198072","occ","","","20408","Blarina sp.","genus","40457","","Blarina","","genus","40457","Irvingtonian","","1.8","0.3","Eshelman and Hager","1984","1462","Chordata","Mammalia","","Soricidae","Blarina","","","","","-96.000000","41.799999","Little Sioux (Upper)","","","US","Iowa","Harrison","based on political unit","1","","","gp_mid","-95.58","42.02","101","US","","","","","","","LitSx","2","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","some genera","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198097","occ","","","20413","Sorex cinereus","species","51634","","Sorex cinereus","","species","51634","Irvingtonian","","1.8","0.3","Dalquest and Schultz","1992","6202","Chordata","Mammalia","","Soricidae","Sorex","","","","","-101.300003","34.500000","Mayfield Ranch","","Evans and Meade Locality 6 (in part)","US","Texas","Briscoe","based on political unit","1","small collection","11 km W of Silverton","gp_mid","-100.94","34.74","101","US","","Tule","","","","","RockC","4","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","immediately underlies Lava Creek B volcanic ash (see Rock Creek)<br>5 m above Rock Creek L.F. level","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198156","occ","9648","","20422","Blarina carolinensis","species","44539","","Blarina carolinensis","","species","51633","Irvingtonian","","1.8","0.3","Alroy","2002","6294","Chordata","Mammalia","","Soricidae","Blarina","","","","","-100.300003","37.200001","Mt. Scott (UM-K1-60)","","","US","Kansas","Meade","based on political unit","1","small collection","Big Springs Ranch\n""SW 1/4 SW 1/4 Sec. 13 T. 32 S. R. 29 W.""","gp_mid","-99.92","37.44","101","US","","Kingsdown","","lower","bed","","Meade","9","bottom to top","","","","","","sandstone","","","","","siltstone","","","sandy","","terrestrial indet.","","""a lens of fine sand to sandy silt""","mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","","","","","""7 tons of matrix were removed"" and screenwashed","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198157","occ","","","20422","Cryptotis parva","species","45376","","Cryptotis parva","","species","51658","Irvingtonian","","1.8","0.3","Hibbard","1963","1887","Chordata","Mammalia","","Soricidae","Cryptotis","","","","","-100.300003","37.200001","Mt. Scott (UM-K1-60)","","","US","Kansas","Meade","based on political unit","1","small collection","Big Springs Ranch\n""SW 1/4 SW 1/4 Sec. 13 T. 32 S. R. 29 W.""","gp_mid","-99.92","37.44","101","US","","Kingsdown","","lower","bed","","Meade","9","bottom to top","","","","","","sandstone","","","","","siltstone","","","sandy","","terrestrial indet.","","""a lens of fine sand to sandy silt""","mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","","","","","""7 tons of matrix were removed"" and screenwashed","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198169","occ","9651","","20423","Sorex n. sp. scottensis","species","51665","","Sorex scottensis","","species","51665","Irvingtonian","","1.8","0.3","Alroy","2002","6294","Chordata","Mammalia","","Soricidae","Sorex","","","","","-100.300003","37.200001","Mt. Scott (UM-K2-59)","","The Lookout","US","Kansas","Meade","based on political unit","1","small collection","Big Springs Ranch\n""SE 1/4 SE 1/4 Sec. 18 T. 32 S. R. 28 W. 1 3/4 miles downstream from locality UM-K4-53""","gp_mid","-99.92","37.44","101","US","","Kingsdown","","lower","bed","","Meade","9","bottom to top","","","","material apparently is from a single 31 inch thick bed","""greenish-gray sandy silt""","siltstone","gray,green","","sandy","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","","","","","""27 tons of matrix were removed from the quarry for washing""","there are three ""Cragin Quarry"" localities in the same quarter of the same section but at a higher stratigraphic level: see Hibbard and Taylor 1960","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198170","occ","","","20423","Sorex arcticus","species","51630","","Sorex arcticus","","species","51630","Irvingtonian","","1.8","0.3","Hibbard","1963","1887","Chordata","Mammalia","","Soricidae","Sorex","","","","","-100.300003","37.200001","Mt. Scott (UM-K2-59)","","The Lookout","US","Kansas","Meade","based on political unit","1","small collection","Big Springs Ranch\n""SE 1/4 SE 1/4 Sec. 18 T. 32 S. R. 28 W. 1 3/4 miles downstream from locality UM-K4-53""","gp_mid","-99.92","37.44","101","US","","Kingsdown","","lower","bed","","Meade","9","bottom to top","","","","material apparently is from a single 31 inch thick bed","""greenish-gray sandy silt""","siltstone","gray,green","","sandy","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","","","","","""27 tons of matrix were removed from the quarry for washing""","there are three ""Cragin Quarry"" localities in the same quarter of the same section but at a higher stratigraphic level: see Hibbard and Taylor 1960","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198171","occ","","","20423","Sorex palustris","species","51657","","Sorex palustris","","species","51657","Irvingtonian","","1.8","0.3","Hibbard","1963","1887","Chordata","Mammalia","","Soricidae","Sorex","","","","","-100.300003","37.200001","Mt. Scott (UM-K2-59)","","The Lookout","US","Kansas","Meade","based on political unit","1","small collection","Big Springs Ranch\n""SE 1/4 SE 1/4 Sec. 18 T. 32 S. R. 28 W. 1 3/4 miles downstream from locality UM-K4-53""","gp_mid","-99.92","37.44","101","US","","Kingsdown","","lower","bed","","Meade","9","bottom to top","","","","material apparently is from a single 31 inch thick bed","""greenish-gray sandy silt""","siltstone","gray,green","","sandy","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","","","","","""27 tons of matrix were removed from the quarry for washing""","there are three ""Cragin Quarry"" localities in the same quarter of the same section but at a higher stratigraphic level: see Hibbard and Taylor 1960","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198172","occ","9652","","20423","Blarina carolinensis","species","44539","","Blarina carolinensis","","species","51633","Irvingtonian","","1.8","0.3","Alroy","2002","6294","Chordata","Mammalia","","Soricidae","Blarina","","","","","-100.300003","37.200001","Mt. Scott (UM-K2-59)","","The Lookout","US","Kansas","Meade","based on political unit","1","small collection","Big Springs Ranch\n""SE 1/4 SE 1/4 Sec. 18 T. 32 S. R. 28 W. 1 3/4 miles downstream from locality UM-K4-53""","gp_mid","-99.92","37.44","101","US","","Kingsdown","","lower","bed","","Meade","9","bottom to top","","","","material apparently is from a single 31 inch thick bed","""greenish-gray sandy silt""","siltstone","gray,green","","sandy","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","","","","","""27 tons of matrix were removed from the quarry for washing""","there are three ""Cragin Quarry"" localities in the same quarter of the same section but at a higher stratigraphic level: see Hibbard and Taylor 1960","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198173","occ","","","20423","Cryptotis parva","species","45376","","Cryptotis parva","","species","51658","Irvingtonian","","1.8","0.3","Hibbard","1963","1887","Chordata","Mammalia","","Soricidae","Cryptotis","","","","","-100.300003","37.200001","Mt. Scott (UM-K2-59)","","The Lookout","US","Kansas","Meade","based on political unit","1","small collection","Big Springs Ranch\n""SE 1/4 SE 1/4 Sec. 18 T. 32 S. R. 28 W. 1 3/4 miles downstream from locality UM-K4-53""","gp_mid","-99.92","37.44","101","US","","Kingsdown","","lower","bed","","Meade","9","bottom to top","","","","material apparently is from a single 31 inch thick bed","""greenish-gray sandy silt""","siltstone","gray,green","","sandy","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","","","","","""27 tons of matrix were removed from the quarry for washing""","there are three ""Cragin Quarry"" localities in the same quarter of the same section but at a higher stratigraphic level: see Hibbard and Taylor 1960","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198194","occ","9656","","20424","Sorex scottensis","species","51665","","Sorex scottensis","","species","51665","Irvingtonian","","1.8","0.3","Alroy","2002","6294","Chordata","Mammalia","","Soricidae","Sorex","","","","","-100.300003","37.200001","Mt. Scott (UM-K4-53)","","","US","Kansas","Meade","based on political unit","1","small collection","Big Springs Ranch\n""SE 1/4 Sec. 14 T. 32 S. R. 29 W.""","gp_mid","-99.92","37.44","101","US","","Kingsdown","","lower","member","","Meade","9","bottom to top","","","","quarry within a paleochannel","no details given","not reported","","","","","","","","","","terrestrial indet.","","""in an old channel"" cut into the underlying Crooked Creek and Ballard formations","mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","some macrofossils","","","","","""5 tons of fosill-bearing matrix was removed for washing""","""contains numerous remains of molluscs"" described by Miller 1961 (not seen)","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198195","occ","9657","","20424","Blarina carolinensis","species","44539","","Blarina carolinensis","","species","51633","Irvingtonian","","1.8","0.3","Alroy","2002","6294","Chordata","Mammalia","","Soricidae","Blarina","","","","","-100.300003","37.200001","Mt. Scott (UM-K4-53)","","","US","Kansas","Meade","based on political unit","1","small collection","Big Springs Ranch\n""SE 1/4 Sec. 14 T. 32 S. R. 29 W.""","gp_mid","-99.92","37.44","101","US","","Kingsdown","","lower","member","","Meade","9","bottom to top","","","","quarry within a paleochannel","no details given","not reported","","","","","","","","","","terrestrial indet.","","""in an old channel"" cut into the underlying Crooked Creek and Ballard formations","mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","some macrofossils","","","","","""5 tons of fosill-bearing matrix was removed for washing""","""contains numerous remains of molluscs"" described by Miller 1961 (not seen)","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198221","occ","","","20430","Sorex sp.","genus","40486","","Sorex","","genus","40486","Blancan","Irvingtonian","4.9","0.3","McClellan","1976","2496","Chordata","Mammalia","","Soricidae","Sorex","","","","","-112.099998","42.500000","North of Red Rock Pass","","","US","Idaho","Bannock","based on political unit","1","","Marsh Creek Valley","gp_mid","-111.00","43.31","101","US","FED","Salt Lake","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","said to be early Pleistocene = late Blancan or Irvingtonian","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198279","occ","","","20440","Blarina carolinensis","species","44539","","Blarina carolinensis","","species","51633","Rancholabrean","","0.3","0.012","Karrow et al.","1996","2050","Chordata","Mammalia","","Soricidae","Blarina","","","","","-82.800003","27.799999","Oldsmar Pit 1 (Pleistocene)","","FK-9","US","Florida","Pinellas","based on political unit","1","small collection","1 km NE of Safety Harbor","gp_mid","-82.80","27.80","109","US","","Fort Thompson","","","","","","","","","","","said to be early Rancholabrean","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","U-series date on shell of 200.6 +/- 9.1 ka; amino acid date on shell of 250 +/- 45 ka<br>text suggests that all terrestrial vertebrates are from this locality but table is for ""Oldsmar Local Fauna""","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198313","occ","","","20445","Notiosorex crawfordi","species","49233","","Notiosorex crawfordi","","species","51636","Irvingtonian","","1.8","0.3","Czaplewski et al.","1999","1298","Chordata","Mammalia","","Soricidae","Notiosorex","","","","","-110.800003","31.700001","Papago Springs Cave (Section 1 Unit 4)","","","US","Arizona","Santa Cruz","based on political unit","1","","","gp_mid","-110.48","31.97","101","US","FED","","","","member","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198321","occ","","","20446","Notiosorex crawfordi","species","49233","","Notiosorex crawfordi","","species","51636","Irvingtonian","","1.8","0.3","Czaplewski et al.","1999","1298","Chordata","Mammalia","","Soricidae","Notiosorex","","","","","-110.800003","31.700001","Papago Springs Cave (Section 1 Unit 5)","","","US","Arizona","Santa Cruz","based on political unit","1","","","gp_mid","-110.48","31.97","101","US","FED","","","","member","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198336","occ","","","20451","Sorex sp.","genus","40486","","Sorex","","genus","40486","Irvingtonian","","1.8","0.3","Dalquest and Schultz","1992","6202","Chordata","Mammalia","","Soricidae","Sorex","","","","","-99.699997","33.799999","Patterson Ranch","","","US","Texas","Knox","based on political unit","1","","10 km ENE of Benjamin","gp_mid","-99.34","34.04","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","immediately underlies Lava Creek B volcanic ash; stratigraphically below Vera L.F. (see also Rock Creek)","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198337","occ","","","20451","Cryptotis parva","species","45376","","Cryptotis parva","","species","51658","Irvingtonian","","1.8","0.3","Dalquest and Schultz","1992","6202","Chordata","Mammalia","","Soricidae","Cryptotis","","","","","-99.699997","33.799999","Patterson Ranch","","","US","Texas","Knox","based on political unit","1","","10 km ENE of Benjamin","gp_mid","-99.34","34.04","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","immediately underlies Lava Creek B volcanic ash; stratigraphically below Vera L.F. (see also Rock Creek)","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198351","occ","","","20454","Sorex sp.","genus","40486","","Sorex","","genus","40486","Irvingtonian","","1.8","0.3","Pajak et al.","1996","2725","Chordata","Mammalia","","Soricidae","Sorex","","","","","-117.000000","33.900002","Pauba Formation (SBCM 05.006.378)","","General Kearney; SBCM 5.6.378","US","California","Riverside","based on political unit","1","small collection","","gp_mid","-116.58","34.09","105","US","","Pauba","","","","","Temec","2","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","361 specimens","","","","","an incomplete version of this list is given by Pajak 1997<br>""Pauba Formation"" list of Reynolds and Reynolds 1990b is largely repeated by this list and others except for their record of ""Ammospermophilus sp.""<br>NISP 361","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198396","occ","","","20464","Sorex sp.","genus","40486","","Sorex","","genus","40486","Irvingtonian","","1.8","0.3","Pajak et al.","1996","2725","Chordata","Mammalia","","Soricidae","Sorex","","","","","-117.000000","33.900002","Pauba Formation (SBCM 05.006.414)","","","US","California","Riverside","based on political unit","1","small collection","","gp_mid","-116.58","34.09","105","US","","Pauba","","","","","Temec","2","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","155 specimens","","","","","NISP 155","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198432","occ","","","20475","Blarina cf. carolinensis","species","44539","","Blarina carolinensis","","species","51633","Irvingtonian","","1.8","0.3","Morgan and White","1995","2624","Chordata","Mammalia","","Soricidae","Blarina","","","","","-81.800003","27.900000","Payne Creek Mine (Irvingtonian)","","","US","Florida","Polk","based on political unit","1","","","gp_mid","-81.43","28.06","109","US","","","","","","","","","","","","","said to be early Irvingtonian","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198451","occ","","","20477","Soricidae indet.","family","40443","","Soricidae","","family","40443","Irvingtonian","","1.8","0.3","Barnosky and Rasmussen","1988","1022","Chordata","Mammalia","","Soricidae","","","","","","-105.699997","39.299999","The Pit","","CM loc. 1925","US","Colorado","Park","based on political unit","1","small collection","Porcupine Cave","gp_mid","-105.33","39.55","101","US","FED","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","""Porcupine Cave,"" exact locality unclear: Clethrionomys sp. Barnosky and Bell 1994 ""Spermophilus armatus or richardsoni"" Wood and Barnosky 1994 Cynomys gunnisoni Goodwin 1999 ""probably"" Cynonymys new species Goodwin 1999 <br>""Mustela vison"" omitted by Anderson 1996","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198511","occ","","","20479","Blarina n. sp. simplicidens","species","44545","subjective synonym of","Blarina brevicauda","","species","51632","Irvingtonian","","1.8","0.3","Gidley and Gazin","1938","1628","Chordata","Mammalia","","Soricidae","Blarina","","","","","-75.300003","40.200001","Port Kennedy Cave","","","US","Pennsylvania","Montgomery","based on political unit","1","","","gp_mid","-74.83","40.33","101","US","","","","","","","","","","","","","","","not reported","","","","","","","","","","cave","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","new list of Daeschler 1996 is based on Gidley and Gazin and contains numerous errors and omissions<br>""? Myotis sp."": a bat; omitted by Daeschler 1996<br><br>""Vulpes latidentatus"" is omitted by Daeschler 1996 and  not discussed by Kurten and Anderson 1980 or other  sources<br><br>""Sciurus calycinus"" is omitted by Kurten and Anderson 1980<br><br>not clear what ""Teleopternus orientalis"" and  ""Odocoileus laevicornis"" are; former is listed by  Daeschler 1996<br><br>""Bison sp."" is not present: Kurten and Anderson 1980","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198578","occ","","","20491","Cryptotis parva","species","45376","","Cryptotis parva","","species","51658","Rancholabrean","","0.3","0.012","Webb and Wilkins","1984","3580","Chordata","Mammalia","","Soricidae","Cryptotis","","","","","-82.300003","29.100000","Reddick IA","","","US","Florida","Marion","based on political unit","1","small collection","1.3 km SE of Reddick","gp_mid","-82.30","29.10","109","US","","","","","","","","","","","","","said to be late Rancholabrean by Morgan and Seymour 1997 but not by Webb and Wilkins","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","from a fissure fill in the Ocala Limestone\ninitially reported by Gut and Ray 1963 Webb 1974a\n""Reithrodontomys humulis"" apparently not present: Ruez 2000","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198579","occ","","","20491","Blarina carolinensis","species","44539","","Blarina carolinensis","","species","51633","Rancholabrean","","0.3","0.012","Webb and Wilkins","1984","3580","Chordata","Mammalia","","Soricidae","Blarina","","","","","-82.300003","29.100000","Reddick IA","","","US","Florida","Marion","based on political unit","1","small collection","1.3 km SE of Reddick","gp_mid","-82.30","29.10","109","US","","","","","","","","","","","","","said to be late Rancholabrean by Morgan and Seymour 1997 but not by Webb and Wilkins","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","from a fissure fill in the Ocala Limestone\ninitially reported by Gut and Ray 1963 Webb 1974a\n""Reithrodontomys humulis"" apparently not present: Ruez 2000","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"198630","occ","","","20492","Sorex cinereus","species","51634","","Sorex cinereus","","species","51634","Irvingtonian","Rancholabrean","1.8","0.012","Hibbard","1943","1854","Chordata","Mammalia","","Soricidae","Sorex","","","","","-98.199997","39.000000","Rezabek","","Locality No. 5<br>DUPLICATE REF 1854 or 1855","US","Kansas","Lincoln","based on political unit","1","small collection","","gp_mid","-97.80","39.23","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","possibly early Rancholabrean according to Jones et al. 1984","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
