"Suncus,"Suncus cf. lixus",3.0940000000000003,3.0940000000000003
"Neomys,"Neomys cf. newtoni",0.4535,0.4535
"Sorex,"Sorex (Drepanosorex) sp.",0.4535,0.4535
"Limnoecus,"Limnoecus cf. tricuspis",11.95,11.95
"Neomys,"Neomys anomalus",0.4535,1.29985
"Sorex,"Sorex n. sp. ertemteensis",8.470500000000001,8.470500000000001
"Anchiblarinella,"Anchiblarinella n. sp. wakeeneyensis",11.95,11.95
"Deinsdorfia,"Deinsdorfia n. sp. reumeri",4.550000000000001,4.550000000000001
"Antesorex,"Antesorex n. sp. wilsoni",14.785,14.785
"Amblycoptus,"Amblycoptus n. sp. jessiae",7.0165,7.0165
"Crocidura,"Crocidura sp.",0.00585,11.520850000000001
"Sorex,"Sorex (Drepanosorex) cf. praearaneus",1.6845,1.6845
"Sorex,"Sorex praearaneus",0.4535,1.6845
"cf.,"cf. Drepanosorex sp.",1.29985,1.29985
"Soricidae,"Soricidae indet.",0.06885,43.3
"Chimarrogale,"Chimarrogale cf. himalayica",1.6845,1.6845
"Myosorex,"Myosorex cf. varius",3.9605,3.9605
"Petenyiella,"Petenyiella repenningi",7.0165,7.0165
"Suncus,"Suncus cf. varilla",2.6723500000000002,3.9605
"Sorex,"Sorex praealpinus",0.4535,3.7
"Asoriculus,"Asoriculus castellarinii",1.6845,1.6845
"Soricella,"Soricella cf. discrepans",21.2,21.2
"Neomys,"Neomys sp.",0.4535,1.6845
"cf.,"cf. Neomys sp.",3.7,3.7
"Beremendia,"Beremendia ? sp.",2.894,3.0940000000000003
"Myosorex,"Myosorex sp.",2.6723500000000002,4.917
"Sorex,"Sorex (Drepanosorex) informal sp. 1",1.29985,1.29985
"Cryptotis,"Cryptotis pava",1.05,1.05
"Diplomesodon,"Diplomesodon fossorius",3.9605,3.9605
"Sorex,"Sorex aranaeus",0.00585,0.00585
"Sorex,"Sorex cf. meltoni",3.35,3.35
"Cryptotis,"Cryptotis sp.",0.06885,7.6000000000000005
"Sorex,"Sorex megapalustris",1.05,1.05
"Paenelimnoecus,"Paenelimnoecus n. sp. obtusus",8.470500000000001,8.470500000000001
"Clapasorex,"Clapasorex alvarezae",13.789000000000001,13.789000000000001
"Paenelimnoecus,"Paenelimnoecus pannonicus",2.894,8.470500000000001
"Crocidurinae,"Crocidurinae indet.",3.9605,18.205000000000002
"Crocidura,"Crocidura cf. tarfayaensis",0.4535,0.4535
"Sorex,"Sorex cf. kennardi",0.4535,0.4535
"cf.,"cf. Suncus sp.",12.809000000000001,12.809000000000001
"Alluvisorex,"Alluvisorex sp.",14.785,14.785
"Sorex,"Sorex palustris",0.00585,1.05
"Sorex,"Sorex dispar",0.063,0.06885
"Sorex,"Sorex subaraneus",0.4535,3.9605
"Episoriculus,"Episoriculus borsodensis",4.550000000000001,4.550000000000001
"""Suncus"","""Suncus"" ""hungaricus""",0.4535,0.4535
"Sorex,"Sorex kretzoii",3.7,3.7
"Notiosorex,"Notiosorex repenningi",3.35,3.35
"Florinia,"Florinia stehlini",16.435,18.45
"Crocidosorex,"Crocidosorex cf. thauensis",25.715,25.715
"Blarinini,"Blarinini indet.",11.520850000000001,11.520850000000001
"Beremendia,"Beremendia n. sp. minor",2.894,2.894
"Soriculus,"Soriculus sp.",1.6845,1.6845
"cf.,"cf. Alluvisorex sp.",7.6000000000000005,7.6000000000000005
"Paenelimnoecus,"Paenelimnoecus obtusus",4.4665,4.4665
"Paracryptotis,"Paracryptotis gidleyi",3.35,3.35
"Sorex,"Sorex aranoides",0.4535,1.29985
"Soricidae,"Soricidae informal indet. 1",1.6845,1.6845
"Blarina,"Blarina carolinensis",0.06885,3.35
"Myosorex,"Myosorex meini",3.0940000000000003,3.0940000000000003
"Petenyiella,"Petenyiella cf. gracilis",2.894,2.894
"n.,"n. gen. Taatsiinia n. sp. hoeckorum",31.15,31.15
"Sorex,"Sorex arcticus",0.063,1.29985
"Sorex,"Sorex cf. alpinus",0.4535,0.4535
"Sorex,"Sorex cf. aranoides",0.4535,0.4535
"Miosorex,"Miosorex pusilliformis",16.435,16.435
"Lartetium,"Lartetium aehmi",13.2,13.2
"Sorex,"Sorex pachyodon",0.4535,0.4535
