Species	Status	min_age	max_age
Limnoecus_tricuspis	extinct	13.6	15.97
Alluvisorex_chasseae	extinct	10.3	13.6
Sorex	extinct	10.3	13.6
Limnoecus_tricuspis	extinct	13.6	15.97
Limnoecus_tricuspis	extinct	13.6	15.97
Limnoecus_tricuspis	extinct	13.6	15.97
Limnoecus_tricuspis	extinct	13.6	15.97
Limnoecus_tricuspis	extinct	13.6	15.97
Limnoecus_tricuspis	extinct	13.6	15.97
Limnoecus	extinct	15.97	20.43
Cryptotis	extinct	4.9	10.3
Limnoecus_tricuspis	extinct	13.6	15.97
Notiosorex	extinct	4.9	10.3
Soricidae	extinct	1.8	4.9
Sorex_taylori	extinct	1.8	4.9
Notiosorex	extinct	1.8	4.9
Sorex	extinct	1.8	4.9
Sorex	extinct	1.8	4.9
Notiosorex	extinct	1.8	4.9
Sorex_leahyi	extinct	1.8	4.9
Sorex_leahyi	extinct	1.8	4.9
Blarina	extinct	1.8	4.9
Sorex_palustris	extinct	1.8	4.9
Sorex_palustris	extinct	1.8	4.9
Sorex_palustris	extinct	1.8	4.9
Sorex_palustris	extinct	1.8	4.9
Sorex_palustris	extinct	1.8	4.9
Sorex_palustris	extinct	1.8	4.9
Sorex_palustris	extinct	1.8	4.9
Sorex_palustris	extinct	1.8	4.9
Sorex_hagermanensis	extinct	1.8	4.9
Sorex_powersi	extinct	1.8	4.9
Sorex_meltoni	extinct	1.8	4.9
Sorex_rexroadensis	extinct	1.8	4.9
Paracryptotis_gidleyi	extinct	1.8	4.9
Paracryptotis_gidleyi	extinct	1.8	4.9
Paracryptotis_gidleyi	extinct	1.8	4.9
Sorex_powersi	extinct	1.8	4.9
Soricidae	extinct	1.8	4.9
Soricidae	extinct	1.8	4.9
Soricidae	extinct	1.8	4.9
Paracryptotis	extinct	1.8	4.9
Sorex_taylori	extinct	1.8	4.9
Soricidae	extinct	1.8	4.9
Sorex_leahyi	extinct	1.8	4.9
Planisorex_dixonensis	extinct	1.8	4.9
Blarina_brevicauda	extinct	1.8	4.9
Sorex_rexroadensis	extinct	1.8	4.9
Paracryptotis_rex	extinct	1.8	4.9
Cryptotis_meadensis	extinct	1.8	4.9
Cryptotis_adamsi	extinct	1.8	4.9
Notiosorex_jacksoni	extinct	1.8	4.9
Cryptotis_adamsi	extinct	1.8	4.9
Notiosorex_jacksoni	extinct	1.8	4.9
Cryptotis_kansasensis	extinct	1.8	4.9
Sorex_taylori	extinct	1.8	4.9
Sorex_taylori	extinct	1.8	4.9
Sorex_taylori	extinct	1.8	4.9
Sorex_sandersi	extinct	1.8	4.9
Paracryptotis_rex	extinct	1.8	4.9
Sorex_sandersi	extinct	1.8	4.9
Blarina_brevicauda	extinct	1.8	4.9
Sorex_cinereus	extinct	1.8	4.9
Sorex_sandersi	extinct	1.8	4.9
Sorex_sandersi	extinct	1.8	4.9
Sorex_sandersi	extinct	1.8	4.9
Sorex	extinct	1.8	4.9
Sorex_sandersi	extinct	1.8	4.9
Planisorex_dixonensis	extinct	1.8	4.9
Planisorex_dixonensis	extinct	1.8	4.9
Blarina	extinct	1.8	4.9
Notiosorex	extinct	1.8	4.9
Sorex	extinct	1.8	4.9
Sorex_taylori	extinct	1.8	4.9
Sorex_taylori	extinct	1.8	4.9
Sorex_taylori	extinct	1.8	4.9
Notiosorex_jacksoni	extinct	1.8	4.9
Beckiasorex_hibbardi	extinct	1.8	4.9
Paracryptotis_rex	extinct	1.8	4.9
Sorex_meltoni	extinct	1.8	4.9
Sorex	extinct	1.8	4.9
