"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Ursidae"
"Access Time","Wed 2017-02-22 07:50:18 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Ursidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0316"
"Records Found","772"
"Records Returned","772"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"213621","occ","","","21856","Ursus arctos","species","52604","","Ursus arctos","species","52604","Pleistocene","Holocene","2.588","0","5211"
"217739","occ","","","22224","Ursidae indet.","family","41301","","Ursidae","family","41301","Miocene","Pliocene","23.03","2.588","5408"
"225626","occ","","","21884","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","Holocene","2.588","0","5223"
"227614","occ","","","22221","Agriotherium africanum","species","199981","","Agriotherium africanum","species","199981","Zanclean","","5.333","3.6","5391"
"227627","occ","","","22222","Agriotherium africanum","species","199981","","Agriotherium africanum","species","199981","Zanclean","","5.333","3.6","5423"
"266862","occ","","","20083","Ursus abstrusus","species","52601","","Ursus abstrusus","species","52601","Early Pliocene","","5.333","3.6","7157"
"302825","occ","","","11798","Ursavus depereti","species","41329","species not entered","Ursavus","genus","41329","Turolian","","8.7","5.333","11437"
"337750","occ","","","31775","Hemicyon sansaniensis","species","339538","","Hemicyon sansaniensis","species","339538","Langhian","Tortonian","15.97","7.246","8548"
"337770","occ","","","31776","Plithocyon ? armagnacensis","species","97836","","Plithocyon armagnacensis","species","97836","Langhian","Tortonian","15.97","7.246","8548"
"339339","occ","","","32052","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Late Pliocene","","3.6","2.588","5595"
"340889","occ","","","32145","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","8655"
"341617","occ","","","32191","Hemicyon sansaniensis","species","339538","","Hemicyon sansaniensis","species","339538","Langhian","Serravallian","15.97","11.62","8672"
"341618","occ","","","32191","Plithocyon armagnacensis","species","97836","","Plithocyon armagnacensis","species","97836","Langhian","Serravallian","15.97","11.62","8672"
"356217","occ","","","33973","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","8655"
"356304","occ","","","33974","Ursus mediterraneus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","8655"
"356305","occ","","","33974","Ursus gombaszoegensis","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","8655"
"357222","occ","","","34010","Ursus cf. deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","8655"
"357255","occ","","","34012","Ursus cf. deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","8655"
"360253","occ","","","34127","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","8650"
"361742","occ","13595","","34269","Ursus americanus","species","52602","","Ursus americanus","species","52602","Late Pleistocene","","0.126","0.0117","14678"
"361893","occ","","","34287","Ursus bibersoni","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9013"
"362183","occ","","","34329","Ursus bibersoni","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9013"
"362199","occ","","","34330","Ursus bibersoni","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","9013"
"362818","occ","","","34368","Ursus aff. deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","9031"
"363037","occ","","","34394","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Pliocene","","5.333","2.588","9043"
"363039","occ","","","34395","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Pliocene","","5.333","2.588","9043"
"363045","occ","","","34396","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Pliocene","","5.333","2.588","9043"
"363199","occ","","","34411","Ursus n. sp. sackdillingensis","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9059"
"363231","occ","","","34412","Ursus n. sp. ehrenbergi","species","41331","species not entered","Ursus","genus","41331","Pliocene","","5.333","2.588","9060"
"363524","occ","","","34436","Indarctos sp.","genus","41315","","Indarctos","genus","41315","Turolian","","8.7","5.333","9043"
"363573","occ","","","34444","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Pliocene","","5.333","2.588","9043"
"363691","occ","","","34462","Indarctos ? sp.","genus","41315","","Indarctos","genus","41315","Late Miocene","","11.608","5.333","9080"
"365134","occ","","","34594","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Villanyian","","3.2","2.588","9135"
"365303","occ","","","34614","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Villanyian","","3.2","2.588","9135"
"365754","occ","","","34642","Indarctos aff. arctoides","species","90201","","Indarctos arctoides","species","90201","Late Miocene","","11.608","5.333","9164"
"365924","occ","","","34651","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Pliocene","","5.333","2.588","9135"
"366418","occ","","","34694","Agriotherium n. sp. inexpetans","species","54399","","Agriotherium inexpetans","species","54399","Late Miocene","","11.608","5.333","7930"
"367531","occ","","","34764","Ursus sp.","genus","41331","","Ursus","genus","41331","Villanyian","Pleistocene","3.2","0.0117","9135"
"367728","occ","","","34784","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","9135"
"367978","occ","","","34810","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Pliocene","Pleistocene","5.333","0.0117","9135"
"367983","occ","","","34811","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Pliocene","Pleistocene","5.333","0.0117","9135"
"368284","occ","","","34842","Ursus cf. deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","9314"
"368334","occ","","","34848","Ursus sp.","genus","41331","","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","9314"
"368518","occ","","","34870","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9345"
"368588","occ","","","34872","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9345"
"368995","occ","","","34898","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","9343"
"369096","occ","","","34916","Ursus sp.","genus","41331","","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","9345"
"369172","occ","","","34920","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9345"
"369194","occ","","","34925","Ursus sp.","genus","41331","","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","9345"
"369253","occ","","","34929","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Villanyian","","3.2","2.588","10965"
"369645","occ","","","34943","Ursus sp.","genus","41331","","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","9388"
"369786","occ","","","34940","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9383"
"370252","occ","","","35045","Ursus spelaeus","species","90654","","Ursus spelaeus","species","90654","Middle Pleistocene","","0.781","0.126","9309"
"370253","occ","","","35045","Ursus cf. arctos","species","52604","","Ursus arctos","species","52604","Middle Pleistocene","","0.781","0.126","9309"
"370430","occ","","","35076","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Pliocene","Pleistocene","5.333","0.0117","9424"
"373473","occ","","","35354","Ursus sp.","genus","41331","","Ursus","genus","41331","Ruscinian","Villanyian","5.333","2.588","9534"
"373554","occ","","","35358","Ursus cf. minimus","species","41331","species not entered","Ursus","genus","41331","Villanyian","","3.2","2.588","9534"
"373591","occ","","","35359","Ursus sp.","genus","41331","","Ursus","genus","41331","Pliocene","Pleistocene","5.333","0.0117","9534"
"374166","occ","","","35369","Ursus cf. gombaszoegensis","species","41331","species not entered","Ursus","genus","41331","Villanyian","","3.2","2.588","9534"
"374167","occ","","","35369","Ursulus stehlini","species","41330","species not entered","Ursulus","genus","41330","Villanyian","","3.2","2.588","9534"
"374265","occ","","","35371","Ursus cf. gombaszoegensis","species","41331","species not entered","Ursus","genus","41331","Villanyian","","3.2","2.588","9534"
"374276","occ","","","35372","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Ruscinian","Villanyian","5.333","2.588","9534"
"374341","occ","","","35374","Ursus arvernensis","species","295054","","Ursus arvernensis","species","295054","Villanyian","","3.2","2.588","9534"
"374342","occ","","","35374","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Villanyian","","3.2","2.588","9534"
"374420","occ","","","35383","Ursulus sp.","genus","41330","","Ursulus","genus","41330","Pliocene","Pleistocene","5.333","0.0117","9534"
"375053","occ","","","35428","Ursus aff. etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","9534"
"375519","occ","","","35442","Ursus cf. gombaszoegensis","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","9534"
"375996","occ","","","35472","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","9534"
"375997","occ","","","35472","Ursulus stehlini","species","41330","species not entered","Ursulus","genus","41330","Middle Pleistocene","","0.781","0.126","9534"
"376094","occ","","","35476","Ursus cf. deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","9534"
"379610","occ","","","35905","Ursus sp.","genus","41331","","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","9643"
"379668","occ","","","35907","Ursus mediterraneus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","Middle Pleistocene","2.588","0.126","9643"
"379669","occ","","","35907","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","Middle Pleistocene","2.588","0.126","9643"
"379785","occ","","","35923","Ailuropoda sp.","genus","41304","","Ailuropoda","genus","41304","Pleistocene","","2.588","0.0117","9644"
"381193","occ","","","36206","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","9643"
"381235","occ","","","22728","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9643"
"381404","occ","","","36214","Ursus thibetanus","species","104029","","Ursus thibetanus","species","104029","Middle Pleistocene","","0.781","0.126","9643"
"381405","occ","","","36214","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","9643"
"381464","occ","","","36219","Ursus cf. thibetanus","species","104029","","Ursus thibetanus","species","104029","Middle Pleistocene","","0.781","0.126","9643"
"381503","occ","","","36220","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","9643"
"382558","occ","","","36373","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9754"
"384842","occ","","","36634","Ursavus depereti","species","41329","species not entered","Ursavus","genus","41329","MN 10","","9.7","8.7","9821"
"384843","occ","","","36634","Ursavus sp.","genus","41329","","Ursavus","genus","41329","MN 10","","9.7","8.7","9821"
"385423","occ","","","31583","Amphicynodon gracilis","species","41307","species not entered","Amphicynodon","genus","41307","Early Oligocene","","33.9","28.4","9832"
"385424","occ","","","36709","Amphicynodon typicus","species","41307","species not entered","Amphicynodon","genus","41307","MP 23","","33.9","28.4","9832"
"385428","occ","","","36711","Amphicynodon leptorhynchus","species","348697","","Amphicynodon leptorhynchus","species","348697","MP 23","","33.9","28.4","9832"
"385429","occ","","","36711","Amphicynodon typicus","species","41307","species not entered","Amphicynodon","genus","41307","MP 23","","33.9","28.4","9832"
"385430","occ","","","31767","Amphicynodon velaunus","species","41307","species not entered","Amphicynodon","genus","41307","Early Oligocene","","33.9","28.4","19145"
"385579","occ","","","36729","Ursus thibetanus","species","104029","","Ursus thibetanus","species","104029","Late Pleistocene","","0.126","0.0117","9836"
"385580","occ","","","36729","Ailuropoda melanoleuca","species","104016","","Ailuropoda melanoleuca","species","104015","Late Pleistocene","","0.126","0.0117","9836"
"385593","occ","","","36730","Ursus thibetanus","species","104029","","Ursus thibetanus","species","104029","Late Pleistocene","","0.126","0.0117","9836"
"385594","occ","","","36730","Ailuropoda melanoleuca","species","104016","","Ailuropoda melanoleuca","species","104015","Late Pleistocene","","0.126","0.0117","9836"
"385967","occ","","","36517","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9858"
"386023","occ","","","36819","Ursus thibetanus","species","104029","","Ursus thibetanus","species","104029","Early Pleistocene","","2.588","0.781","9836"
"386024","occ","19487","","36819","Ailuropoda wulingshanensis","species","104028","","Ailuropoda wulingshanensis","species","104027","Early Pleistocene","","2.588","0.781","24689"
"386463","occ","","","36868","Ursus thibetanus","species","104029","","Ursus thibetanus","species","104029","Middle Pleistocene","Late Pleistocene","0.781","0.0117","9871"
"386514","occ","","","36868","Ailuropoda ? melanoleuca","species","104016","","Ailuropoda melanoleuca","species","104015","Middle Pleistocene","Late Pleistocene","0.781","0.0117","9871"
"387458","occ","","","37024","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9913"
"387486","occ","","","37026","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9913"
"396202","occ","","","38087","Ursus spelaeus","species","90654","","Ursus spelaeus","species","90654","Piacenzian","Calabrian","3.6","0.781","10227"
"398245","occ","","","13066","Ursus americanus","species","52602","","Ursus americanus","species","52602","Pleistocene","","2.588","0.0117","10274"
"398246","occ","","","13066","Tremarctos floridanus","species","52411","","Tremarctos floridanus","species","44274","Pleistocene","","2.588","0.0117","10274"
"402766","occ","","","38649","Ailuropoda melanoleuca","species","104016","","Ailuropoda melanoleuca","species","104015","Middle Pleistocene","","0.781","0.126","10365"
"402767","occ","","","38649","Ursus sp.","genus","41331","","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","10365"
"407965","occ","","","11803","Ursus mediterraneus","species","41331","species not entered","Ursus","genus","41331","Late Pleistocene","","0.126","0.0117","10604"
"408444","occ","","","39314","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","","2.588","0.0117","10617"
"408554","occ","","","39322","Ursus sp.","genus","41331","","Ursus","genus","41331","Pliocene","Pleistocene","5.333","0.0117","10617"
"412066","occ","","","39846","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Pliocene","","5.333","2.588","11025"
"414637","occ","","","40130","Ursus minimus","species","41331","species not entered","Ursus","genus","41331","Pliocene","","5.333","2.588","11201"
"415528","occ","","","40266","Ursus sp.","genus","41331","","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","10889"
"416074","occ","","","40341","Ursus sp.","genus","41331","","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","10880"
"416075","occ","","","40341","Ailuropoda sp.","genus","41304","","Ailuropoda","genus","41304","Middle Pleistocene","","0.781","0.126","10880"
"416593","occ","","","40392","Ursus arvernensis","species","295054","","Ursus arvernensis","species","295054","Pliocene","","5.333","2.588","10898"
"416612","occ","","","40393","Ursus cf. arvernensis","species","295054","","Ursus arvernensis","species","295054","Pliocene","","5.333","2.588","10898"
"416629","occ","13151","","40394","Ursus ex gr. minimus","species","41331","species not entered","Ursus","genus","41331","Ruscinian","","5.333","3.2","13592"
"416651","occ","","","40398","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","","2.588","0.0117","10898"
"417544","occ","","","40497","Ursus cf. spelaeus","species","90654","","Ursus spelaeus","species","90654","Middle Pleistocene","Late Pleistocene","0.781","0.0117","10916"
"417580","occ","","","40500","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","10917"
"417581","occ","","","40500","Ursus thibetanus","species","104029","","Ursus thibetanus","species","104029","Early Pleistocene","","2.588","0.781","10917"
"417604","occ","","","40502","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","10917"
"418109","occ","","","40548","Ursus ruscinensis","species","41331","species not entered","Ursus","genus","41331","Ruscinian","","5.333","3.2","11048"
"418308","occ","","","36112","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","MN 17","","2.588","1.806","13795"
"419024","occ","","","39409","Ursus cf. etruscus","species","41331","species not entered","Ursus","genus","41331","Pliocene","","5.333","2.588","10960"
"419100","occ","","","40716","Hemicyon cf. sansaniensis","species","339538","","Hemicyon sansaniensis","species","339538","Burdigalian","","20.44","15.97","10964"
"419634","occ","","","40758","Agriotherium n. sp. roblesi","species","41303","species not entered","Agriotherium","genus","41303","Turolian","","8.7","5.333","11045"
"419717","occ","","","40768","Thaumastocyon n. sp. dirus","species","41327","species not entered","Thaumastocyon","genus","41327","Vallesian","","11.608","8.7","11011"
"419718","occ","","","40768","Ursidae indet.","family","41301","","Ursidae","family","41301","Vallesian","","11.608","8.7","11011"
"419911","occ","","","40796","Ursidae indet.","family","41301","","Ursidae","family","41301","Ruscinian","","5.333","3.2","11017"
"420014","occ","","","40808","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","11028"
"421600","occ","","","40990","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","11051"
"421607","occ","","","40993","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","11051"
"421637","occ","","","40997","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","11051"
"421675","occ","","","41002","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","11051"
"421698","occ","","","41006","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","11051"
"421709","occ","","","41007","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","11051"
"423931","occ","","","11798","Indarctos sp.","genus","41315","","Indarctos","genus","41315","Turolian","","8.7","5.333","11437"
"430806","occ","","","42068","Hemicyon (Phoberocyon) youngi","species","272894","species not entered","Phoberocyon","genus","41321","Langhian","","15.97","13.82","11208"
"432366","occ","","","28781","Hemicyon teilhardi","species","41314","species not entered","Hemicyon","genus","41314","Middle Miocene","Late Miocene","15.97","5.333","11208"
"432641","occ","","","42273","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Ruscinian","","5.333","3.2","11208"
"432642","occ","","","42273","Ursus sp.","genus","41331","","Ursus","genus","41331","Ruscinian","","5.333","3.2","11208"
"435541","occ","","","42588","Ursavus primaevus","species","52600","","Ursavus primaevus","species","52600","Langhian","Serravallian","15.97","11.62","11342"
"435589","occ","","","33396","Agriotherium intermedium","species","41303","species not entered","Agriotherium","genus","41303","MN 15","","4.2","3.2","11342"
"435590","occ","","","33396","Ursus wenzensis","species","41331","species not entered","Ursus","genus","41331","MN 15","","4.2","3.2","11342"
"436718","occ","","","42676","Indarctos atticus","species","90196","","Indarctos atticus","species","90196","Turolian","","8.7","5.333","11351"
"439048","occ","","","42241","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","12548"
"439174","occ","","","42867","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","11380"
"440006","occ","","","43008","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","11397"
"440007","occ","","","43008","Ursus arctos","species","52604","","Ursus arctos","species","52604","Middle Pleistocene","","0.781","0.126","11397"
"440119","occ","","","43016","Ursus spelaeus","species","90654","","Ursus spelaeus","species","90654","Middle Pleistocene","","0.781","0.126","11400"
"442339","occ","","","43400","Ursidae indet.","family","41301","","Ursidae","family","41301","Burdigalian","","20.44","15.97","11443"
"442544","occ","","","43617","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11457"
"442547","occ","","","43617","Ursus sp.","genus","41331","","Ursus","genus","41331","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11457"
"442552","occ","","","43618","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11457"
"442573","occ","","","43619","Ursus sp.","genus","41331","","Ursus","genus","41331","Late Pleistocene","","0.126","0.0117","11457"
"442625","occ","","","43628","Ursus sp.","genus","41331","","Ursus","genus","41331","Late Pleistocene","","0.126","0.0117","11457"
"442637","occ","","","43629","Ursus sp.","genus","41331","","Ursus","genus","41331","Late Pleistocene","","0.126","0.0117","11457"
"442666","occ","","","43630","Ursus sp.","genus","41331","","Ursus","genus","41331","Late Pleistocene","","0.126","0.0117","11457"
"442879","occ","","","43643","Ursus arctos","species","52604","","Ursus arctos","species","52604","Middle Pleistocene","","0.781","0.126","11465"
"443123","occ","","","43645","Ursus arctos","species","52604","","Ursus arctos","species","52604","Middle Pleistocene","","0.781","0.126","11465"
"443241","occ","","","43653","Ursus sp.","genus","41331","","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","11465"
"443255","occ","","","43654","Ursus spelaeus","species","90654","","Ursus spelaeus","species","90654","Middle Pleistocene","","0.781","0.126","11465"
"443294","occ","","","43655","Ursus arctos","species","52604","","Ursus arctos","species","52604","Middle Pleistocene","","0.781","0.126","11465"
"443319","occ","","","43656","Ursus arctos","species","52604","","Ursus arctos","species","52604","Pleistocene","","2.588","0.0117","11465"
"443320","occ","","","43656","Ursus spelaeus","species","90654","","Ursus spelaeus","species","90654","Pleistocene","","2.588","0.0117","11465"
"443321","occ","","","43656","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","","2.588","0.0117","11465"
"443368","occ","","","43658","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","11465"
"443369","occ","","","43658","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","","2.588","0.0117","11465"
"443403","occ","","","43664","Ursus spelaeus","species","90654","","Ursus spelaeus","species","90654","Middle Pleistocene","","0.781","0.126","11465"
"443450","occ","","","43666","Ursus arctos","species","52604","","Ursus arctos","species","52604","Middle Pleistocene","","0.781","0.126","11465"
"443451","occ","","","43666","Ursus spelaeus","species","90654","","Ursus spelaeus","species","90654","Middle Pleistocene","","0.781","0.126","11465"
"443584","occ","","","43689","Ursus arctos","species","52604","","Ursus arctos","species","52604","Late Pleistocene","","0.126","0.0117","11465"
"443675","occ","","","43697","Ursus cf. arctos","species","52604","","Ursus arctos","species","52604","Middle Pleistocene","","0.781","0.126","11465"
"443687","occ","","","43699","Ursus ex gr. spelaearctos","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","11465"
"443719","occ","","","43701","Ursus spelaeus","species","90654","","Ursus spelaeus","species","90654","Middle Pleistocene","","0.781","0.126","11465"
"443735","occ","","","43702","Ursus spelaeus","species","90654","","Ursus spelaeus","species","90654","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11465"
"447696","occ","","","44091","Ursus sp.","genus","41331","","Ursus","genus","41331","Pleistocene","","2.588","0.0117","11575"
"447711","occ","","","44092","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","11576"
"448615","occ","","","44146","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","11585"
"450383","occ","11617","","44231","Ursus minimus","species","41331","species not entered","Ursus","genus","41331","Pliocene","Pleistocene","5.333","0.0117","11614"
"451981","occ","","","44220","Ursavus depereti","species","41329","species not entered","Ursavus","genus","41329","Turolian","","8.7","5.333","11437"
"451982","occ","","","44220","Indarctos sinensis","species","90198","subjective synonym of","Indarctos atticus","species","90196","Turolian","","8.7","5.333","11437"
"451983","occ","","","44220","Indarctos sp.","genus","41315","","Indarctos","genus","41315","Turolian","","8.7","5.333","11437"
"451984","occ","","","44220","Ursinae indet.","subfamily","65407","","Ursinae","subfamily","65407","Turolian","","8.7","5.333","11437"
"451993","occ","","","44221","Ursavus depereti","species","41329","species not entered","Ursavus","genus","41329","Turolian","","8.7","5.333","11437"
"451994","occ","","","44221","Ursinae indet.","subfamily","65407","","Ursinae","subfamily","65407","Turolian","","8.7","5.333","11437"
"452006","occ","","","44222","Indarctos sp.","genus","41315","","Indarctos","genus","41315","Turolian","","8.7","5.333","11437"
"452013","occ","","","44223","Ursavus depereti","species","41329","species not entered","Ursavus","genus","41329","Turolian","","8.7","5.333","11437"
"452014","occ","","","44223","Indarctos sp.","genus","41315","","Indarctos","genus","41315","Turolian","","8.7","5.333","11437"
"452015","occ","","","44223","Ursinae indet.","subfamily","65407","","Ursinae","subfamily","65407","Turolian","","8.7","5.333","11437"
"452025","occ","","","44224","Indarctos sp.","genus","41315","","Indarctos","genus","41315","Turolian","","8.7","5.333","11437"
"452026","occ","","","44224","Ursinae indet.","subfamily","65407","","Ursinae","subfamily","65407","Turolian","","8.7","5.333","11437"
"457434","occ","","","43020","Ursus arctos","species","52604","","Ursus arctos","species","52604","Early Pleistocene","","2.588","0.781","11725"
"457451","occ","","","45085","Ursus cf. arctos","species","52604","","Ursus arctos","species","52604","Early Pleistocene","","2.588","0.781","11725"
"457473","occ","","","45065","Ursus cf. spelaeus","species","90654","","Ursus spelaeus","species","90654","Early Pleistocene","","2.588","0.781","11725"
"457489","occ","","","45069","Ursus cf. spelaeus","species","90654","","Ursus spelaeus","species","90654","Early Pleistocene","","2.588","0.781","11725"
"466695","occ","","","46277","Ursidae indet.","family","41301","","Ursidae","family","41301","MN 7 + 8","","12.75","11.1","12335"
"472518","occ","","","46955","Ursavus elmensis","species","64162","","Ursavus elmensis","species","64162","MN 5","","15.97","13.65","12472"
"474709","occ","","","47099","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","MN 16","","3.2","2.588","12548"
"474710","occ","","","47099","Agriotherium insigne","species","41303","species not entered","Agriotherium","genus","41303","MN 16","","3.2","2.588","12548"
"474735","occ","","","47100","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","MN 16","","3.2","2.588","12548"
"475113","occ","","","47131","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","MN 17","","2.588","1.806","12548"
"475164","occ","","","40031","Hemicyon sansaniensis","species","339538","","Hemicyon sansaniensis","species","339538","Burdigalian","","20.44","15.97","10857"
"475176","occ","","","47150","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","MN 17","","2.588","1.806","12578"
"478752","occ","","","47624","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","MN 17","","2.588","1.806","12548"
"479849","occ","","","47829","Ursus etruscus","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","12802"
"479868","occ","","","47830","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Early Pleistocene","","2.588","0.781","12802"
"479890","occ","","","47832","Ursus deningeri","species","41331","species not entered","Ursus","genus","41331","Middle Pleistocene","","0.781","0.126","12802"
"479891","occ","","","47832","Plionarctos sp.","genus","41322","","Plionarctos","genus","41322","Middle Pleistocene","","0.781","0.126","12802"
"485013","occ","12965","","48555","Ursus cf. deningeri","species","41331","species not entered","Ursus","genus","41331","Pleistocene","","2.588","0.0117","9643"
"485298","occ","","","48587","Ursus arctos","species","52604","","Ursus arctos","species","52604","Late Pleistocene","","0.126","0.0117","12964"
