"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Ursidae"
"Access Time","Wed 2017-02-22 07:50:18 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Ursidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0316"
"Records Found","772"
"Records Returned","772"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184390","occ","","","18072","Indarctos sp.","genus","41315","","Indarctos","genus","41315","Hemphillian","","10.3","4.9","6208"
"184538","occ","","","18086","Indarctos oregonensis","species","47360","","Indarctos oregonensis","species","47360","Hemphillian","","10.3","4.9","3510"
"184701","occ","5518","","18097","Agriotherium schneideri","species","43836","","Agriotherium schneideri","species","43836","Hemphillian","","10.3","4.9","6294"
"184926","occ","","","18126","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Late Hemphillian","","10.3","4.9","3510"
"185007","occ","","","18140","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Hemphillian","","10.3","4.9","1800"
"185419","occ","","","18198","Indarctos sp.","genus","41315","","Indarctos","genus","41315","Hemphillian","","10.3","4.9","1325"
"185918","occ","","","18241","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Hemphillian","","10.3","4.9","1058"
"186114","occ","","","18263","Ursidae indet.","family","41301","","Ursidae","family","41301","Hemphillian","","10.3","4.9","3405"
"186214","occ","5935","","18275","Ursavus cf. brevirhinus","species","52598","","Ursavus brevirhinus","species","52598","Barstovian","","15.97","13.6","1976"
"186240","occ","","","18276","Plithocyon sp.","genus","41323","","Plithocyon","genus","41323","Miocene","","23.03","5.333","1976"
